Al2O3_0.85_10	b	5.900E+01	6.381E+01	6.049E+01	8.391E+01	5.776E+01
Al2O3_0.85_10	b	1.703E+02	1.849E+02	1.765E+02	2.545E+02	1.679E+02
Al2O3_0.85_10	b	3.493E+02	3.586E+02	3.461E+02	5.035E+02	3.280E+02
Al2O3_0.85_10	b	5.878E+02	5.842E+02	5.724E+02	8.298E+02	5.412E+02
Al2O3_0.85_10	b	8.828E+02	9.131E+02	8.541E+02	1.308E+03	8.059E+02
Al2O3_0.85_10	b	7.000E+01	6.648E+01	6.373E+01	1.059E+02	6.091E+01
Al2O3_0.85_10	b	2.210E+02	1.896E+02	1.813E+02	3.213E+02	1.729E+02
Al2O3_0.85_10	b	4.544E+02	3.651E+02	3.560E+02	6.353E+02	3.386E+02
Al2O3_0.85_10	b	7.633E+02	5.925E+02	5.863E+02	1.047E+03	5.564E+02
Al2O3_0.85_10	b	1.156E+03	9.231E+02	8.723E+02	1.651E+03	8.261E+02
Al2O3_0.85_10	b	9.542E+01	6.900E+01	6.619E+01	1.360E+02	6.322E+01
Al2O3_0.85_10	b	3.103E+02	1.943E+02	1.876E+02	4.124E+02	1.791E+02
Al2O3_0.85_10	b	6.248E+02	3.720E+02	3.629E+02	8.154E+02	3.459E+02
Al2O3_0.85_10	b	1.002E+03	6.017E+02	5.956E+02	1.344E+03	5.664E+02
Al2O3_0.85_10	b	1.541E+03	9.352E+02	8.840E+02	2.119E+03	8.392E+02
Al2O3_0.85_10	b	1.082E+02	7.162E+01	6.826E+01	1.773E+02	6.511E+01
Al2O3_0.85_10	b	4.186E+02	1.995E+02	1.912E+02	5.382E+02	1.827E+02
Al2O3_0.85_10	b	7.941E+02	3.801E+02	3.680E+02	1.065E+03	3.512E+02
Al2O3_0.85_10	b	1.256E+03	6.128E+02	6.021E+02	1.755E+03	5.736E+02
Al2O3_0.85_10	b	1.906E+03	9.500E+02	8.918E+02	2.767E+03	8.482E+02
Al2O3_0.85_20	c	1.035E+02	1.197E+02	1.221E+02	-1.000E+00	1.149E+02
Al2O3_0.85_20	c	3.157E+02	3.501E+02	3.296E+02	-1.000E+00	3.090E+02
Al2O3_0.85_20	c	6.248E+02	6.860E+02	6.262E+02	-1.000E+00	5.853E+02
Al2O3_0.85_20	c	1.035E+03	1.115E+03	1.012E+03	-1.000E+00	9.435E+02
Al2O3_0.85_20	c	1.529E+03	1.622E+03	1.486E+03	-1.000E+00	1.383E+03
Al2O3_0.85_20	c	1.290E+02	1.258E+02	1.281E+02	-1.000E+00	1.207E+02
Al2O3_0.85_20	c	3.551E+02	3.615E+02	3.395E+02	-1.000E+00	3.192E+02
Al2O3_0.85_20	c	7.126E+02	7.029E+02	6.418E+02	-1.000E+00	6.021E+02
Al2O3_0.85_20	c	1.185E+03	1.138E+03	1.033E+03	-1.000E+00	9.665E+02
Al2O3_0.85_20	c	1.761E+03	1.650E+03	1.512E+03	-1.000E+00	1.413E+03
Al2O3_0.85_20	c	1.479E+02	1.304E+02	1.331E+02	-1.000E+00	1.253E+02
Al2O3_0.85_20	c	4.345E+02	3.702E+02	3.493E+02	-1.000E+00	3.289E+02
Al2O3_0.85_20	c	8.981E+02	7.157E+02	6.550E+02	-1.000E+00	6.156E+02
Al2O3_0.85_20	c	1.510E+03	1.155E+03	1.050E+03	-1.000E+00	9.851E+02
Al2O3_0.85_20	c	2.227E+03	1.671E+03	1.534E+03	-1.000E+00	1.437E+03
Al2O3_0.85_20	c	1.858E+02	1.363E+02	1.359E+02	-1.000E+00	1.277E+02
Al2O3_0.85_20	c	5.176E+02	3.829E+02	3.528E+02	-1.000E+00	3.323E+02
Al2O3_0.85_20	c	1.187E+03	7.368E+02	6.582E+02	-1.000E+00	6.193E+02
Al2O3_0.85_20	c	1.979E+03	1.186E+03	1.052E+03	-1.000E+00	9.882E+02
Al2O3_0.85_20	c	3.056E+03	1.712E+03	1.534E+03	-1.000E+00	1.438E+03
Al2O3_0.85_30	d	1.555E+02	2.024E+02	2.230E+02	-1.000E+00	2.080E+02
Al2O3_0.85_30	d	4.391E+02	5.559E+02	5.706E+02	-1.000E+00	5.302E+02
Al2O3_0.85_30	d	8.403E+02	1.056E+03	1.051E+03	-1.000E+00	9.738E+02
Al2O3_0.85_30	d	1.312E+03	1.679E+03	1.665E+03	-1.000E+00	1.539E+03
Al2O3_0.85_30	d	1.995E+03	2.420E+03	2.411E+03	-1.000E+00	2.224E+03
Al2O3_0.85_30	d	1.663E+02	2.063E+02	2.391E+02	-1.000E+00	2.231E+02
Al2O3_0.85_30	d	4.855E+02	5.589E+02	6.018E+02	-1.000E+00	5.605E+02
Al2O3_0.85_30	d	9.391E+02	1.055E+03	1.104E+03	-1.000E+00	1.025E+03
Al2O3_0.85_30	d	1.520E+03	1.670E+03	1.740E+03	-1.000E+00	1.614E+03
Al2O3_0.85_30	d	2.210E+03	2.402E+03	2.513E+03	-1.000E+00	2.325E+03
Al2O3_0.85_30	d	1.832E+02	2.140E+02	2.478E+02	-1.000E+00	2.312E+02
Al2O3_0.85_30	d	5.458E+02	5.727E+02	6.185E+02	-1.000E+00	5.769E+02
Al2O3_0.85_30	d	1.080E+03	1.075E+03	1.126E+03	-1.000E+00	1.048E+03
Al2O3_0.85_30	d	1.746E+03	1.696E+03	1.770E+03	-1.000E+00	1.644E+03
Al2O3_0.85_30	d	2.551E+03	2.434E+03	2.549E+03	-1.000E+00	2.364E+03
Al2O3_0.85_30	d	2.105E+02	2.209E+02	2.553E+02	-1.000E+00	2.380E+02
