Al2O3_0.85_10	b	5.900E+01	6.862E+01	6.487E+01	7.822E+01	6.110E+01
Al2O3_0.85_10	b	1.703E+02	2.082E+02	1.984E+02	2.373E+02	1.853E+02
Al2O3_0.85_10	b	3.493E+02	4.118E+02	3.971E+02	4.693E+02	3.666E+02
Al2O3_0.85_10	b	5.878E+02	6.787E+02	6.647E+02	7.735E+02	6.042E+02
Al2O3_0.85_10	b	8.828E+02	1.070E+03	9.996E+02	1.219E+03	9.525E+02
Al2O3_0.85_10	b	7.000E+01	8.741E+01	8.356E+01	9.502E+01	7.257E+01
Al2O3_0.85_10	b	2.210E+02	2.651E+02	2.531E+02	2.882E+02	2.201E+02
Al2O3_0.85_10	b	4.544E+02	5.245E+02	5.110E+02	5.701E+02	4.354E+02
Al2O3_0.85_10	b	7.633E+02	8.645E+02	8.553E+02	9.397E+02	7.177E+02
Al2O3_0.85_10	b	1.156E+03	1.363E+03	1.286E+03	1.481E+03	1.131E+03
Al2O3_0.85_10	b	9.542E+01	1.083E+02	1.035E+02	1.166E+02	8.451E+01
Al2O3_0.85_10	b	3.103E+02	3.284E+02	3.164E+02	3.537E+02	2.564E+02
Al2O3_0.85_10	b	6.248E+02	6.496E+02	6.329E+02	6.996E+02	5.071E+02
Al2O3_0.85_10	b	1.002E+03	1.071E+03	1.059E+03	1.153E+03	8.358E+02
Al2O3_0.85_10	b	1.541E+03	1.689E+03	1.594E+03	1.818E+03	1.318E+03
Al2O3_0.85_10	b	1.082E+02	1.334E+02	1.264E+02	1.445E+02	9.811E+01
Al2O3_0.85_10	b	4.186E+02	4.048E+02	3.867E+02	4.383E+02	2.976E+02
Al2O3_0.85_10	b	7.941E+02	8.008E+02	7.740E+02	8.671E+02	5.887E+02
Al2O3_0.85_10	b	1.256E+03	1.320E+03	1.296E+03	1.429E+03	9.704E+02
Al2O3_0.85_10	b	1.906E+03	2.083E+03	1.951E+03	2.253E+03	1.530E+03
Al2O3_0.85_20	c	1.035E+02	1.435E+02	1.466E+02	-1.000E+00	1.205E+02
Al2O3_0.85_20	c	3.157E+02	4.414E+02	4.146E+02	-1.000E+00	3.707E+02
Al2O3_0.85_20	c	6.248E+02	8.838E+02	8.047E+02	-1.000E+00	7.422E+02
Al2O3_0.85_20	c	1.035E+03	1.455E+03	1.317E+03	-1.000E+00	1.221E+03
Al2O3_0.85_20	c	1.529E+03	2.133E+03	1.951E+03	-1.000E+00	1.791E+03
Al2O3_0.85_20	c	1.290E+02	2.060E+02	2.103E+02	-1.000E+00	1.549E+02
Al2O3_0.85_20	c	3.551E+02	6.336E+02	5.931E+02	-1.000E+00	4.763E+02
Al2O3_0.85_20	c	7.126E+02	1.269E+03	1.154E+03	-1.000E+00	9.538E+02
Al2O3_0.85_20	c	1.185E+03	2.090E+03	1.890E+03	-1.000E+00	1.570E+03
Al2O3_0.85_20	c	1.761E+03	3.068E+03	2.803E+03	-1.000E+00	2.303E+03
Al2O3_0.85_20	c	1.479E+02	2.824E+02	2.887E+02	-1.000E+00	1.924E+02
Al2O3_0.85_20	c	4.345E+02	8.685E+02	8.166E+02	-1.000E+00	5.918E+02
Al2O3_0.85_20	c	8.981E+02	1.740E+03	1.586E+03	-1.000E+00	1.185E+03
Al2O3_0.85_20	c	1.510E+03	2.870E+03	2.600E+03	-1.000E+00	1.952E+03
Al2O3_0.85_20	c	2.227E+03	4.223E+03	3.863E+03	-1.000E+00	2.864E+03
Al2O3_0.85_20	c	1.858E+02	3.808E+02	3.797E+02	-1.000E+00	2.373E+02
Al2O3_0.85_20	c	5.176E+02	1.172E+03	1.073E+03	-1.000E+00	7.297E+02
Al2O3_0.85_20	c	1.187E+03	2.351E+03	2.086E+03	-1.000E+00	1.462E+03
Al2O3_0.85_20	c	1.979E+03	3.887E+03	3.426E+03	-1.000E+00	2.408E+03
Al2O3_0.85_20	c	3.056E+03	5.749E+03	5.110E+03	-1.000E+00	3.538E+03
Al2O3_0.85_30	d	1.555E+02	2.818E+02	3.125E+02	-1.000E+00	2.213E+02
Al2O3_0.85_30	d	4.391E+02	8.148E+02	8.372E+02	-1.000E+00	6.399E+02
Al2O3_0.85_30	d	8.403E+02	1.584E+03	1.576E+03	-1.000E+00	1.244E+03
Al2O3_0.85_30	d	1.312E+03	2.553E+03	2.532E+03	-1.000E+00	2.004E+03
Al2O3_0.85_30	d	1.995E+03	3.719E+03	3.705E+03	-1.000E+00	2.916E+03
Al2O3_0.85_30	d	1.663E+02	4.348E+02	5.096E+02	-1.000E+00	2.949E+02
Al2O3_0.85_30	d	4.855E+02	1.258E+03	1.360E+03	-1.000E+00	8.528E+02
Al2O3_0.85_30	d	9.391E+02	2.449E+03	2.567E+03	-1.000E+00	1.658E+03
Al2O3_0.85_30	d	1.520E+03	3.957E+03	4.132E+03	-1.000E+00	2.673E+03
Al2O3_0.85_30	d	2.210E+03	5.796E+03	6.080E+03	-1.000E+00	3.896E+03
Al2O3_0.85_30	d	1.832E+02	6.680E+02	7.843E+02	-1.000E+00	3.941E+02
Al2O3_0.85_30	d	5.458E+02	1.935E+03	2.100E+03	-1.000E+00	1.140E+03
Al2O3_0.85_30	d	1.080E+03	3.782E+03	3.973E+03	-1.000E+00	2.218E+03
Al2O3_0.85_30	d	1.746E+03	6.170E+03	6.461E+03	-1.000E+00	3.582E+03
Al2O3_0.85_30	d	2.551E+03	9.207E+03	9.711E+03	-1.000E+00	5.238E+03
Al2O3_0.85_30	d	2.105E+02	1.010E+03	1.187E+03	-1.000E+00	5.205E+02
